Region,Short_Sector,Group,Observations,Mean,SD,Min,Max,Median
UK,Chemicals Growth,Chemicals Growth,318,2.9522012578616366,16.07036905925599,-37.2,78.8,0.8500000000000001
UK,Electric and Gas Utilities,Utilities,330,93.18606060606061,17.39824397025732,58.5,137.5,92.1
UK,Engineering and Allied Industries Growth,Aggregate Growth,318,3.1374213836477978,9.256711212845904,-32,65.9,3.7
UK,MIG Consumer Goods Growth,Consumer Goods Growth,318,2.818553459119497,5.718998316969417,-8.8,20,3
UK,MIG Consumer Non-Durables 3mo3m Growth,Consumer Goods 3mo3m Growth,327,0.4110091743119264,2.0432444179415534,-5.3,8.1,0.3
UK,MIG Consumer Non-Durables Growth,Consumer Goods Growth,318,1.736163522012579,5.5768714926112875,-13,16.9,1.7
UK,Manufacturing Total,Manufacturing,918,62.571677559912835,22.886404883258404,24.6,111.5,57.150000000000006
UK,Mining,Mining,918,323.9567538126365,159.93855415385931,31.8,635.5,317.2
UK,Mining Growth,Mining Growth,318,-5.908176100628929,10.795936077043823,-41.9,34.2,-6.199999999999999
UK,Pharmaceuticals,Manufacturing,330,107.42969696969696,17.34561505424415,72.6,159.1,104.85
UK,Wood and Paper Products Growth,Manufacturing Growth,318,1.8003144654088057,7.973277524013077,-33.1,42.6,2.55
US,Automotive Products,Consumer Goods,928,53.33509903017241,30.36485515612193,8.9303,114.5012,44.48235
US,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1.0396388247560115,9.11346318930149,-50.70663327414593,103.50170498478232,0.8407306050429053
US,Automotive Products 3mo3my Growth,Consumer Goods 3mo3my Growth,911,4.708864367116466,15.71927618259701,-49.31073146924133,98.25824417637034,4.19862001032032
US,Automotive Products Growth,Consumer Goods Growth,927,0.46511020935281694,7.135769861357339,-62.47590262722349,95.70172645696204,0.2897100206903591
US,Consumer Goods,Consumer Goods,928,71.64466648706896,28.75255916864134,20.1689,111.7575,73.4395
US,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,0.5340795266760494,1.7215318522054575,-10.895742418717704,12.065193705935371,0.5126550013019981
US,Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,2.7759800391247578,4.866621172196345,-11.709028070517924,22.24333947206876,2.2784171713913226
US,Consumer Goods Growth,Consumer Goods Growth,927,0.1771771786015456,1.0930703417784688,-11.4537606971443,9.034488185564026,0.1836535937517647
US,Durable Consumer Goods,Consumer Goods,928,59.71359353448274,31.982894871875118,12.110900000000001,109.8167,52.8755
US,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,0.7819141135451312,5.000989762686711,-33.54032202219428,51.58236446511955,0.8327912903466572
US,Durable Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,4.119650736609583,11.66750865968328,-32.978029440491,55.01322675646148,3.899011607996883
US,Durable Consumer Goods Growth,Consumer Goods Growth,927,0.2742429498912485,3.347377003982826,-38.87458178879519,43.20174723734394,0.2647038459284934
US,Durable Manufacturing,Manufacturing,928,46.55247758620694,33.920241134972265,5.4777,104.3278,28.962449999999997
US,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,923,0.9345800189221677,4.37167432621939,-18.99250138447495,28.595828594275872,1.091291761383828
US,Durable Manufacturing 3mo3my Growth,Manufacturing 3mo3my Growth,911,4.93370869269428,11.484919944620605,-29.02884226486269,60.45919341204704,4.961611306493197
US,Durable Manufacturing Growth,Manufacturing Growth,927,0.3092809556727891,2.533919391975028,-20.63144778022489,26.49237920363643,0.3956670938934037
US,Electric Power,Utilities,640,79.43773812500001,22.111740390963945,34.6995,112.8159,85.25489999999999
US,Electric Power 3mo3m Growth,Utilities 3mo3m Growth,635,0.5464033294834011,1.945482231427806,-6.633867908065927,6.894512337579317,0.546639298740681
US,Electric Power 3mo3my Growth,Utilities 3mo3my Growth,623,2.611526241575681,3.5595265222247003,-6.174685684190628,14.714375241479116,2.562319277821712
US,Electric Power Growth,Utilities Growth,639,0.19996105789564603,1.969145375414976,-7.493050325738482,6.655335812090635,0.22599197594286305
US,Electric and Gas Utilities,Utilities,928,63.15674913793102,32.70232399886976,7.0887,113.7273,62.5111
US,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,923,0.9104036443497271,1.9383282254283836,-6.435987448467118,6.161839224569854,1.044061061019419
US,Electric and Gas Utilities 3mo3my Growth,Utilities 3mo3my Growth,911,4.588999080211878,4.988793575200671,-7.177857093365569,20.43563467113052,4.150100646940236
US,Electric and Gas Utilities Growth,Utilities Growth,927,0.31353209063210047,1.9016563654160423,-9.414859983574509,7.33637796461557,0.4682416052944616
US,Final Products,Products,928,64.57004676724137,31.228932360764695,14.6634,110.212,63.340199999999996
US,Final Products 3mo3m Growth,Products 3mo3m Growth,923,0.6316478961471959,1.741618240655756,-12.2932980045399,10.522541383024995,0.6906605027991342
US,Final Products 3mo3my Growth,Products 3mo3my Growth,911,3.312094027902108,5.571536088804933,-16.450584886568887,23.563475690280832,3.2281111904965742
US,Final Products Growth,Products Growth,927,0.20878728614758263,0.9697630720634216,-13.518449743871921,7.189710143908989,0.22886944871969295
US,Manufacturing Total,Manufacturing,928,56.66628415948273,30.18042326558917,10.7357,106.7819,47.6141
US,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,923,0.7297046452959512,2.8289869750409515,-13.685324820629551,15.11183058722516,0.8494399459117563
US,Manufacturing Total 3mo3my Growth,Manufacturing 3mo3my Growth,911,3.803552063452351,7.840617150349748,-19.058986351364048,36.427274707719135,4.149819110449027
US,Manufacturing Total Growth,Manufacturing Growth,927,0.24114453055833254,1.5649922435878652,-12.8765334749255,12.7144305794203,0.27331033601634136
US,Mining,Mining,928,83.40278631465517,16.38057438066481,37.3007,123.0976,84.3726
US,Mining 3mo3m Growth,Mining 3mo3m Growth,923,0.3334805897241452,2.848660515852223,-20.559636421286264,15.494392220471289,0.3947657295295448
US,Mining 3mo3my Growth,Mining 3mo3my Growth,911,1.671806047853501,7.051099953059937,-24.050126088344804,34.28090005735223,1.43950586181405
US,Mining Growth,Mining Growth,927,0.11968184075352542,2.346991873453686,-13.15822538897663,25.59844721412736,0.1155692316418433
US,Natural Gas,Utilities,640,95.83157250000001,10.17026452421997,69.5348,134.6149,95.9738
US,Natural Gas 3mo3m Growth,Utilities 3mo3m Growth,635,0.11138478666070038,4.5448641530297405,-13.218103354412548,16.752842981667282,0.22340857963685232
US,Natural Gas 3mo3my Growth,Utilities 3mo3my Growth,623,0.19269334773019864,6.723889464435658,-20.92351996497711,24.31073571444502,-0.1418943772949044
US,Natural Gas Growth,Utilities Growth,639,0.16542793136718942,5.785426513886293,-27.945049173605597,30.579199650489382,0.05933716404000755
US,Nondurable Manufacturing,Manufacturing,856,82.6534941588785,26.70675201414245,22.9439,116.0534,96.07964999999999
US,Nondurable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,851,0.529955180967645,1.9921817941574886,-9.980631824922504,6.778543020661543,0.5233910358157123
US,Nondurable Manufacturing 3mo3my Growth,Manufacturing 3mo3my Growth,839,2.6744189969249916,6.224985903381303,-18.9914583677816,22.794523751474017,1.9552930784849876
US,Nondurable Manufacturing Growth,Manufacturing Growth,855,0.1774025582049387,1.1829801729469542,-8.665006078328297,6.316050987062116,0.16932310997332944
US,Total Index,Total,928,60.799318211206895,30.3860657868647,13.1716,104.149,55.4071
US,Total Index 3mo3m Growth,Total 3mo3m Growth,923,0.6678501518560763,2.060091406699304,-12.72341699515993,9.322074273964098,0.7342961188668395
US,Total Index 3mo3my Growth,Total 3mo3my Growth,911,3.4972322218580807,6.329804345341129,-16.362533102666642,27.907206683887264,3.5371712248976728
US,Total Index Growth,Total Growth,927,0.21976908697260633,1.0741382594713809,-13.241808905190243,6.584870737163229,0.2455355361479894
